0,1,2
Rear Window,0.05869118654015455,0.4250797024442083
The Breakfast Club,0.05869118654015455,0.34006376195536664
The Ritual,0.05869118654015455,0.053134962805526036
Eraserhead,0.05869118654015455,0.1487778958554729
The Mist,0.05869118654015455,0.1806588735387885
La La Land,0.05869118654015455,0.06376195536663125
Crash,0.05869118654015455,0.021253985122210415
Hard Candy,0.05869118654015455,0.053134962805526036
The Maltese Falcon,0.05869118654015455,0.1487778958554729
The Others,0.05869118654015455,0.031880977683315624
The Babadook,0.05869118654015455,0.6057385759829969
The Revenant,0.05869118654015455,0.4463336875664187
Green Room,0.05869118654015455,0.010626992561105207
Hellraiser,0.05869118654015455,0.010626992561105207
Elf,0.05869118654015455,0.1806588735387885
Hercules,0.05869118654015455,0.021253985122210415
Lady Bird,0.05869118654015455,0.1381509032943677
The Usual Suspects,0.05380025432847501,0.2975557917109458
City of God,0.05380025432847501,0.2763018065887354
Harold and Maude,0.05380025432847501,0.053134962805526036
Dazed and Confused,0.05380025432847501,0.07438894792773645
The Family Stone,0.05380025432847501,0.4782146652497343
Pontypool,0.05380025432847501,0.021253985122210415
The Crow,0.05380025432847501,0.021253985122210415
The Babysitter,0.05380025432847501,0.010626992561105207
Tenet,0.05380025432847501,0.11689691817215728
The Social Network,0.05380025432847501,0.07438894792773645
District 9,0.05380025432847501,0.031880977683315624
Dead Poets Society,0.05380025432847501,0.1487778958554729
Gangs of New York,0.05380025432847501,0.010626992561105207
Casino,0.05380025432847501,0.41445270988310307
A Simple Plan,0.05380025432847501,0.08501594048884166
Minority Report,0.05380025432847501,0.04250797024442083
Edge of Tomorrow,0.05380025432847501,0.010626992561105207
The Holiday,0.05380025432847501,0.20191285866099895
Ghostbusters,0.05380025432847501,0.010626992561105207
The Grand Budapest Hotel,0.05380025432847501,0.7120085015940489
The Truman Show,0.05380025432847501,0.031880977683315624
10 Things I Hate About You,0.05380025432847501,0.1381509032943677
Kids,0.05380025432847501,0.010626992561105207
Threads,0.05380025432847501,0.1381509032943677
A Clockwork Orange,0.05380025432847501,1.1477151965993624
Scream,0.05380025432847501,0.20191285866099895
Once Upon a Time in the West,0.05380025432847501,0.010626992561105207
Aliens,0.04890932211679546,0.2869287991498406
Annie Hall,0.04890932211679546,0.04250797024442083
Stranger Things,0.04890932211679546,0.10626992561105207
Raging Bull,0.04890932211679546,0.031880977683315624
Shrek,0.04890932211679546,0.04250797024442083
Midsommar,0.04890932211679546,0.04250797024442083
Natural Born Killers,0.04890932211679546,0.10626992561105207
Enemy,0.04890932211679546,0.010626992561105207
Cloud Atlas,0.04890932211679546,0.04250797024442083
The Vanishing,0.04890932211679546,0.1275239107332625
Airplane!,0.04890932211679546,0.07438894792773645
Scarface,0.04890932211679546,0.010626992561105207
The Descent,0.04890932211679546,0.11689691817215728
REC,0.04890932211679546,0.021253985122210415
Kingdom of Heaven,0.04890932211679546,0.2975557917109458
The Big Lebowski,0.04890932211679546,0.20191285866099895
Bad Santa,0.04890932211679546,0.04250797024442083
Whiplash,0.04890932211679546,0.1381509032943677
Pan's Labyrinth,0.04890932211679546,0.51009564293305
The Great Escape,0.04890932211679546,0.021253985122210415
Gravity,0.04890932211679546,0.1594048884165781
Dawn of the Dead,0.04890932211679546,0.09564293304994687
Possessor,0.04890932211679546,0.010626992561105207
Fantastic Mr. Fox,0.04401838990511592,0.04250797024442083
The Secret Life of Walter Mitty,0.04401838990511592,1.3496280552603612
Ferris Bueller's Day Off,0.04401838990511592,0.1381509032943677
Funny Games,0.04401838990511592,0.04250797024442083
The Rundown,0.04401838990511592,0.04250797024442083
Braveheart,0.04401838990511592,0.1381509032943677
Jurassic Park,0.04401838990511592,0.010626992561105207
Speed,0.04401838990511592,0.031880977683315624
Cannibal Holocaust,0.04401838990511592,0.07438894792773645
The Green Mile,0.04401838990511592,0.34006376195536664
The Dark Knight,0.04401838990511592,0.5207226354941552
It's a Wonderful Life,0.04401838990511592,0.37194473963868224
Swiss Army Man,0.04401838990511592,0.1487778958554729
Training Day,0.04401838990511592,0.021253985122210415
American Gangster,0.04401838990511592,0.010626992561105207
30 Days of Night,0.04401838990511592,0.08501594048884166
American Beauty,0.04401838990511592,0.1594048884165781
Rocky,0.04401838990511592,0.07438894792773645
2012,0.04401838990511592,0.021253985122210415
A Quiet Place,0.04401838990511592,0.11689691817215728
Rashomon,0.04401838990511592,0.11689691817215728
